Nom;ISIN;Ticker;Devise;Capitalisation (LC Mds);Pays;Secteur;Industrie;Responsable;ESG_RATING;Rating ESG SG;OVERALL_FLAG;SG;JP;ODDO;SG;JP;ODDO;Couverture ;DJ 30;S&P 500;STOXX 600;SBF 120;CAC 40;CAC PME
AMUNDI SA;FR0004125920;AMUN FP EQUITY;EUR;16,43;FRANCE;Finance;Services financiers diversifi;Chantal;AA;NR;Green;NOT RATED;OVERWEIGHT;OUTPERFORM;NON;OUI;OUI;OUI;NON;NON;OUI;OUI;NON;NON
ANHEUSER-BUSCH I;BE0974293251;ABI BB EQUITY;EUR;104,92;BELGIUM;Consommation de base;Produits alimentaires, boisson;Sophie;AA;62,29;Yellow;SELL;NEUTRAL;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
ANIMA HOLDING SP;IT0004998065;ANIM IM EQUITY;EUR;1,58;ITALY;Finance;Services financiers diversifi;Chantal;BB;NR;Green;BUY;NOT RATED;NOT RATED;OUI;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
APERAM;LU0569974404;APAM NA EQUITY;EUR;4,24;LUXEMBOURG;Matériaux;Matériaux;Jeremy;AA;70,1;Green;BUY;NEUTRAL;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;NON;OUI;NON;NON
ARCELORMITTAL;LU1598757687;MT NA EQUITY;EUR;32,47;LUXEMBOURG;Matériaux;Matériaux;Jeremy;BB;62,47;Yellow;BUY;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;OUI;NON
ARKEMA;FR0010313833;AKE FP EQUITY;EUR;8,32;FRANCE;Matériaux;Matériaux;Jeremy;A;71,57;Yellow;HOLD;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;NON;NON
AROUNDTOWN SA;LU1673108939;AT1 GR EQUITY;EUR;10,57;LUXEMBOURG;Immobilier;Immobilier;Jeremy;BB;NR;Green;HOLD;RATING SUSPENDED;OUTPERFORM;OUI;NON;OUI;OUI;NON;NON;OUI;NON;NON;NON
ASML HOLDING NV;NL0010273215;ASML NA EQUITY;EUR;282,95;NETHERLANDS;Technologies de l'information;Semi-conducteurs et équipemen;Louis;AAA;NR;Green;BUY;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
ASR NEDERLAND NV;NL0011872643;ASRNL NA EQUITY;EUR;5,01;NETHERLANDS;Finance;Assurance;Chantal;BBB;NR;Green;NOT RATED;OVERWEIGHT;OUTPERFORM;NON;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
ASSA ABLOY AB-B;SE0007100581;ASSAB SS EQUITY;SEK;306,40;SWEDEN;Industrie;Biens d'investissement;Yann;AA;87,59;Green;BUY;NEUTRAL;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
GENERALI ASSIC;IT0000062072;G IM EQUITY;EUR;26,77;ITALY;Finance;Assurance;Chantal;AA;73,03;Green;BUY;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
ASSOC BRIT FOODS;GB0006731235;ABF LN EQUITY;GBp;1607,10;BRITAIN;Consommation de base;Produits alimentaires, boisson;Sophie;AA;50,13;Orange;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
ASTRAZENECA PLC;GB0009895292;AZN LN EQUITY;GBp;12623,75;BRITAIN;Soins de santé;Sciences pharmaceutiques, biot;Thomas;AA;65,19;Orange;BUY;RATING SUSPENDED;OUTPERFORM;OUI;NON;OUI;OUI;NON;NON;OUI;NON;NON;NON
